n_agents,p_rewiring,uncertainty,n_experiments,rewiring_type,mean_degree,true_consensus,convergence_step,agent_type
133403,0.5086824219541105,0.0058191017825853,4943,randomize,11.769555407299686,0.975105507372398,27,bayes
133403,0.6931037677449338,0.002994603692583,6418,randomize,11.76943546996694,0.9912745590429,86,bayes
133403,0.3963526347736534,0.0125521033917596,9518,randomize,11.76957039946628,0.9544313096407128,8,bayes
133403,0.5366498023820612,0.0013146027493701,7423,randomize,11.769585391632871,0.9751204995389908,318,bayes
133403,0.7674705121593587,0.0018427903805774,1929,randomize,11.769540415133092,0.9935758566149188,473,bayes
133403,0.6845588295917101,0.0156396361731885,1802,randomize,11.769495438633314,0.9920241673725478,12,bayes
133403,0.8680688002529557,0.0124664453831057,7183,randomize,11.769600383799466,0.9973538825963434,6,bayes
133403,0.5641810615063851,0.0197423523260625,4836,randomize,11.769600383799466,0.9843631702435476,6,bayes
133403,0.8420403094852802,0.0207331161419882,914,randomize,11.7695254229665,0.9968216606822936,13,bayes
133403,0.6322198373036222,0.0176517371868113,2318,randomize,11.76957039946628,0.98982781496668,8,bayes
133403,0.6821208667763471,0.0230659333164176,4688,randomize,11.769465454300128,0.9918142770402464,5,bayes
133403,0.7568553800351637,0.0176819034781257,3590,randomize,11.76957039946628,0.9946777808595008,6,bayes
133403,0.6708330708249851,0.0113583072485788,6986,randomize,11.769540415133092,0.9917393162072816,9,bayes
133403,0.3273585873388638,0.0083173294757974,5613,randomize,11.7695254229665,0.9252490573675256,15,bayes
133403,0.6857218958797525,0.0161876615368557,1586,randomize,11.76957039946628,0.9917318201239852,12,bayes
133403,0.573714381945451,0.0068794645554341,9542,randomize,11.769555407299686,0.9843481780769548,16,bayes
133403,0.5181461978381331,0.0086319669878948,3353,randomize,11.769510430799906,0.9769345516967384,21,bayes
133403,0.7888482702477683,0.020225213503515,9534,randomize,11.76957039946628,0.9960045876029776,5,bayes
133403,0.6712922232874183,0.0087322280822521,8683,randomize,11.7695254229665,0.9912445747097142,9,bayes
133403,0.0748513788709888,0.0092941411823487,7128,randomize,11.769600383799466,0.6811690891509187,10,bayes
133403,0.7455707773424817,0.0085912794296202,7509,randomize,11.769585391632871,0.9942804884447876,9,bayes
133403,0.7139367901782836,0.0158532052119528,1117,randomize,11.769585391632871,0.9928637287017532,17,bayes
133403,0.0106623099135338,0.0127433637409225,5635,randomize,11.769645360299243,0.5940496090792561,7,bayes
133403,0.0875335989401321,0.0049718367149077,5030,randomize,11.76963036813265,0.6576538758498685,40,bayes
133403,0.1829628009315274,0.0247945792612657,8832,randomize,11.7695254229665,0.8284896141765927,8,bayes
133403,0.9681173885297124,0.0114188958654621,5864,randomize,11.76963036813265,0.9983583577580714,9,bayes
133403,0.4281966339263275,0.0227275224705522,4499,randomize,11.769450462133536,0.9628194268494712,7,bayes
133403,0.93380685598891,0.0145377886278898,6438,randomize,11.76963036813265,0.9980810026761018,5,bayes
133403,0.4766897654085099,0.0146626624390039,5682,randomize,11.7695254229665,0.9726992646342286,7,bayes
133403,0.9608017409969556,0.013006246114426,3742,randomize,11.769645360299243,0.9983283734248856,7,bayes
133403,0.1651965286657126,0.0029218546855755,1725,randomize,11.769555407299686,0.7381393222041484,351,bayes
133403,0.558810931199811,0.0194146116012348,3594,randomize,11.769495438633314,0.9828339692510664,7,bayes
133403,0.3014131109458713,0.0185301795713473,2864,randomize,11.76957039946628,0.9170858226576614,9,bayes
133403,0.5883629609677422,0.0233041954451433,9125,randomize,11.76948044646672,0.9866194913157876,5,bayes
133403,0.6508464770128504,0.0033085438947458,3243,randomize,11.769585391632871,0.9883960630570529,118,bayes
133403,0.6332332576672766,0.0121661137856886,212,randomize,11.769465454300128,0.9868218855647924,140,bayes
133403,0.7074738616233289,0.0234060623672155,2827,randomize,11.769585391632871,0.9931710681169088,6,bayes
133403,0.1868513822824107,0.0186505643051928,1181,randomize,11.769585391632871,0.8222753611238128,21,bayes
133403,0.2785628503294894,0.0159382531334793,7583,randomize,11.76957039946628,0.9055568465476788,9,bayes
133403,0.7268751713011185,0.0220269776944448,380,randomize,11.769585391632871,0.9928037600353816,23,bayes
133403,0.6119613713497436,0.0169896994404774,4046,randomize,11.769555407299686,0.9883585826405704,7,bayes
133403,0.3606261385875924,0.0113252228423095,1541,randomize,11.769450462133536,0.9348590361536098,28,bayes
133403,0.3067584221477516,0.0216588268974993,8358,randomize,11.769510430799906,0.9210062742217192,7,bayes
133403,0.97078710158876,0.0153261498891287,4014,randomize,11.769615375966058,0.9985382637571868,6,bayes
133403,0.423242193408105,0.0109706663141236,9145,randomize,11.769495438633314,0.9620248420200446,8,bayes
133403,0.7086903342975125,0.0043280091250363,2893,randomize,11.769555407299686,0.991994183039362,78,bayes
133403,0.2734415989860433,0.0057590116847163,7453,randomize,11.769540415133092,0.8915316746999693,21,bayes
133403,0.349333643136022,0.0097032112711762,9553,randomize,11.76943546996694,0.9381798010539492,9,bayes
133403,0.7743106599323396,0.0035096744615233,6199,randomize,11.76963036813265,0.9945278591935712,55,bayes
